ID,UPDATE_,TXN
1,"2021-08-20 20:58:00",434.1120658
4,"2021-10-04 17:18:00",360.5041733
4,"2021-10-18 14:18:00",175.0617647
4,"2021-10-20 19:21:00",3719.618354
4,"2021-10-21 08:59:00",1171.027491
11,"2021-08-10 20:51:00",2201.975645
11,"2021-09-17 03:36:00",401.9173359
11,"2021-10-12 20:21:00",45.01147306
11,"2021-10-17 08:19:00",2691.108286
11,"2021-10-17 11:29:00",911.9787299
17,"2021-07-09 03:54:00",28.17714529
17,"2021-08-03 19:26:00",123.8627528
18,"2021-10-12 09:29:00",1131.122678
20,"2021-07-12 09:10:00",18.24583376
20,"2021-07-21 21:27:00",261.9489261
28,"2021-10-08 02:59:00",107.4273583
28,"2021-10-21 21:38:00",288.9045753
31,"2021-10-23 11:14:00",239.9107554
31,"2021-10-22 13:14:00",30.66072102
33,"2021-08-31 08:36:00",189.502785
35,"2021-08-15 23:31:00",96.61347961
35,"2021-09-01 01:45:00",827.8906726
35,"2021-09-10 07:32:00",711.5427222
35,"2021-10-02 08:14:00",83.7901251
35,"2021-10-17 04:00:00",119.3415642
37,"2021-07-23 10:10:00",1529.738176
47,"2021-05-25 21:04:00",51.24002299
49,"2021-10-15 16:06:00",594.7261333
51,"2021-09-21 23:52:00",54.19228183
51,"2021-10-18 22:33:00",534.6157337
51,"2021-10-21 00:30:00",377.7184525
51,"2021-10-21 19:25:00",259.6505831
51,"2021-10-21 20:30:00",290.2685821
53,"2021-04-22 04:28:00",77.98098017
53,"2021-06-27 20:06:00",118.4484228
53,"2021-10-07 04:53:00",1410.012808
58,"2021-10-08 21:43:00",217.3354449
58,"2021-10-14 15:58:00",279.4775294
58,"2021-10-15 04:01:00",26.51169819
58,"2021-10-20 18:57:00",35.95594841
59,"2021-08-24 15:55:00",575.3818641
59,"2021-09-28 13:57:00",999.1450206
59,"2021-10-15 13:02:00",640.7733108
60,"2021-05-27 18:29:00",163.5850142
60,"2021-09-15 02:04:00",7959.955537
62,"2021-02-24 07:27:00",126.6828149
62,"2021-04-29 18:46:00",1054.384175
62,"2021-05-21 11:57:00",99.20259856
62,"2021-07-08 04:11:00",137.3731216
64,"2021-09-06 08:48:00",16404.2983
64,"2021-09-13 05:14:00",23157.11791
64,"2021-10-20 12:52:00",373.2864394
65,"2021-09-23 20:16:00",35.11541157
65,"2021-09-30 03:11:00",780.6038431
69,"2021-10-22 08:03:00",117.1275275
69,"2021-10-22 06:23:00",244.3767827
69,"2021-10-22 02:58:00",558.3251414
72,"2021-09-13 00:39:00",3358.294171
76,"2021-08-29 13:10:00",56.20647139
77,"2021-09-21 08:31:00",81.21768078
77,"2021-09-23 23:51:00",9461.727153
77,"2021-10-11 20:24:00",18.3832334
77,"2021-10-15 20:25:00",533.3906621
79,"2021-04-07 05:21:00",4106.537792
79,"2021-08-11 16:21:00",44.99856153
79,"2021-10-10 07:07:00",2.800887013
79,"2021-10-14 17:01:00",57.08818007
88,"2021-09-30 16:40:00",507.3562627
89,"2021-09-14 21:30:00",149.7448582
89,"2021-10-09 15:47:00",1682.415673
89,"2021-10-11 08:41:00",138.8226505
89,"2021-10-13 06:24:00",1355.411819
89,"2021-10-14 03:25:00",46.09894062
94,"2021-09-11 12:43:00",3797.149191
94,"2021-10-09 07:29:00",772.8277326
94,"2021-10-15 08:09:00",56.89397721
94,"2021-10-18 17:45:00",1667.141639
